ticker,sector,industry
NVDA,Electronic Technology,Semiconductors
AAPL,Electronic Technology,Telecommunications Equipment
MSFT,Technology Services,Packaged Software
JPM,Finance,Major Banks
AMZN,Retail Trade,Internet Retail
